Id,Prediction
1,1.4496146481307692
2,1.8500030299724772
3,1.6498525690036594
4,1.7002385618020561
5,2.2698357937238178
6,2.0296516651444643
7,2.3248336981495954
8,1.7796855602993684
9,2.2100985902359143
10,2.1402027677570761
11,1.9430316203053657
12,1.9198580607314701
13,2.3001005046937579
14,1.769835341608724
15,2.1696455577218021
16,1.8197587333545775
17,2.1396601765633338
18,2.2100985902359143
19,1.6302115680850413
20,2.1696455577218021
21,2.0096895512270141
22,2.180122881990318
23,2.1797785268666527
24,1.7198870436376357
25,2.1797785268666527
26,1.8398800072768422
27,1.4496146481307692
28,1.8895786277224631
29,2.5097036762493907
30,2.4501292071239238
31,1.5199152192656542
32,2.1696455577218021
33,1.5098108862436406
34,1.3228919305455467
35,2.1200824149034205
36,2.4197637724379266
37,1.7498262626001644
38,1.7300108415906001
39,1.7399406042989765
40,1.8403699362319998
41,2.2702371200303864
42,1.6700240942137672
43,2.27022731013379
44,1.7203034028720681
45,1.7897091493297723
46,2.1500795327627427
47,1.9198580607314701
48,1.7603484059234082
49,2.0499158223351817
50,1.7300885821942451
51,1.6497044440795694
52,1.9299712166245895
53,1.6402729678300063
54,2.2401300186540842
55,2.2100985902359143
56,1.9703261268405599
57,1.6302115680850413
58,1.5995245189011329
59,1.64959298468237
60,1.9099168142016851
61,1.8336681345027284
62,2.5202378674841075
63,1.8304018211879187
64,1.7399406042989765
65,1.8499150066875616
66,1.9703261268405599
67,2.3241558761040282
68,1.7897091493297723
69,1.64959298468237
70,1.7030631900713997
71,1.519788797402736
72,2.1115178688076597
73,1.9298332404965888
74,1.3799311144649478
75,2.3098161405346875
76,1.8198307588608982
77,1.7498262626001644
78,2.1796708478615785
79,1.5429713704885359
80,2.1500795327627427
81,1.8398800072768422
82,2.1402027677570761
83,1.4171511413584392
84,2.0101736829174226
85,2.2698357937238178
86,2.1797785268666527
87,1.5597625838105407
88,1.7498262626001644
89,2.0761124029915181
90,1.8801769329880771
91,2.140507703308014
92,1.9198580607314701
93,2.2100985902359143
94,1.0601088515474915
95,2.6602935192384312
96,2.4200676737559963
97,2.2500580791934262
98,1.6302115680850413
99,1.7198870436376357
100,2.2100985902359143
101,2.0404682415130004
102,1.9198580607314701
103,1.9197853642979332
104,1.7603484059234082
105,1.4784644440230097
106,1.9799391376662463
107,1.9301565344894542
108,2.5097036762493907
109,1.7300108415906001
110,2.4501292071239238
111,1.8895786277224631
112,1.8399132332076649
113,2.1696455577218021
114,1.6002640985982368
115,2.5202378674841075
116,1.9600486878605836
117,1.7322222132283813
118,2.2502551165606075
119,1.7041591813225558
120,2.2698357937238178
121,1.9901777693703111
122,2.2702371200303864
123,1.7700863163034724
124,2.0499158223351817
125,1.7698602137114214
126,1.7402348826834224
127,2.1796708478615785
128,2.3098161405346875
129,2.1796708478615785
130,1.5197900125890502
131,2.2100985902359143
132,2.1704102764814568
133,2.1796708478615785
134,1.7897091493297723
135,1.7300108415906001
136,1.6264632374996653
137,2.219857208023305
138,2.2698357937238178
139,2.3196765439593126
140,1.7897091493297723
141,2.3695047743335724
142,1.7600936466918746
143,1.6402729678300063
144,1.9103283075764836
145,1.3700809174229223
146,1.7650859082202563
147,1.5096894658538944
148,1.4999902930383286
149,2.3398481137110796
150,1.7897091493297723
151,1.6702608494746605
152,1.9198588362774069
153,1.3199135923384022
154,2.3695047743335724
155,1.6996318354816737
156,1.6796015501885169
157,1.6998146050207046
158,1.3974928348991242
159,2.1796708478615785
160,1.4702751716828968
161,1.7002385618020561
162,1.1603351455430657
163,1.7499882009942223
164,1.7802554516304046
165,2.3401931452916274
166,2.2698357937238178
167,1.5716505084092054
168,1.9301565344894542
169,1.6495276367075844
170,2.1696455577218021
171,2.2295705616166206
172,1.5899813551166275
173,1.5501410321042881
174,1.739954404851471
175,2.3401931452916274
176,2.3401931452916274
177,1.7897091493297723
178,1.3898739276855125
179,1.9597430438575243
180,1.8900132668107319
181,1.6302115680850413
182,1.8301492178900203
183,2.0603313474164069
184,2.2100985902359143
185,1.8703081305079685
186,1.8698396110999091
187,1.65962411634872
188,1.7002385618020561
189,2.3196765439593126
190,1.3498539480154781
191,1.530396772436446
192,2.5097036762493907
